gene-BTH_RS12195	go_process=cellular modified amino acid biosynthetic process|0042398||IEA	﻿GeneID	BaseMean	Log2(FC)	StdErrr	Wald-Stats	P-value	P-adj
gene-BTH_RS18755	go_function=4-hydroxybenzoate octaprenyltransferase activity|0008412||IEA	gene-BTH_RS18755	595.6387672	-0.000322534	0.118843265	-0.002713943	0.99783459	0.99885487
gene-BTH_RS20710	product=putative signal transducing protein	gene-BTH_RS20710	51.52638818	0.008296531	0.281382402	0.029484897	0.976477864	0.983510112
gene-BTH_RS24640	product=lasso peptide biosynthesis B2 protein	gene-BTH_RS24640	1588.548738	4.062377371	0.168686874	24.08235612	3.83E-128	3.75E-126
gene-BTH_RS35340	product=hypothetical protein	gene-BTH_RS35340	10.87541933	0.019300652	0.539136837	0.035799171	0.971442494	0.979753642
gene-BTH_RS25840	go_process=phosphorelay signal transduction system|0000160||IEA,regulation of DNA-templated transcription|0006355||IEA	gene-BTH_RS25840	1353.413517	3.158991411	0.11676767	27.05364774	3.46E-161	4.23E-159
gene-BTH_RS25845	product=ATP-binding protein	gene-BTH_RS25845	2446.860713	2.84320041	0.102634766	27.70211805	6.58E-169	1.29E-166
gene-BTH_RS25850	product=spore coat U domain-containing protein	gene-BTH_RS25850	2610.509232	2.914813261	0.105422501	27.64887229	2.88E-168	4.03E-166
gene-BTH_RS25855	go_function=fimbrial usher porin activity|0015473||IEA	gene-BTH_RS25855	6377.344285	2.941998063	0.106233066	27.69380738	8.29E-169	1.35E-166
gene-BTH_RS25860	inference=COORDINATES: similar to AA sequence:RefSeq:WP_009905896.1	gene-BTH_RS25860	9994.604035	3.096838824	0.097128421	31.88396141	4.46E-223	1.45E-220
gene-BTH_RS25865	product=spore coat U domain-containing protein	gene-BTH_RS25865	14771.49727	3.169399493	0.099688137	31.79314607	8.05E-222	1.97E-219
gene-BTH_RS25870	product=spore coat U domain-containing protein	gene-BTH_RS25870	9396.463137	3.494287652	0.103733251	33.68531905	9.48E-249	4.64E-246
gene-BTH_RS25875	product=spore coat U domain-containing protein	gene-BTH_RS25875	11096.89085	2.678902491	0.105695112	25.34556659	1.01E-141	1.09E-139
gene-BTH_RS07725	locus_tag=BTH_RS07725	gene-BTH_RS07725	415.1825235	0.00313564	0.131274192	0.02388619	0.98094339	0.986992373
gene-BTH_RS07735	locus_tag=BTH_RS07735	gene-BTH_RS07735	1446.09216	0.00095958	0.12526219	0.00766057	0.993887809	0.996879298
gene-BTH_RS07975	product=SDR family NAD(P)-dependent oxidoreductase	gene-BTH_RS07975	48.58378335	-0.010380988	0.293110121	-0.035416681	0.971747484	0.979753642
gene-BTH_RS08210	product=UxaA family hydrolase	gene-BTH_RS08210	12.02861815	-0.003364022	0.520450632	-0.006463672	0.994842772	0.996879298
gene-BTH_RS09230	inference=COORDINATES: similar to AA sequence:RefSeq:WP_004523210.1	gene-BTH_RS09230	132.8147636	0.002833372	0.19702766	0.01438058	0.988526353	0.992581845
gene-BTH_RS09300	product=DUF1488 domain-containing protein	gene-BTH_RS09300	79.63939504	-0.004052531	0.246704821	-0.016426641	0.986894026	0.991960217
gene-BTH_RS10925	go_function=porin activity|0015288||IEA	gene-BTH_RS10925	9283.637711	4.051241741	0.118258117	34.25762099	3.36E-257	3.29E-254
